  PID TTY           TIME CMD
  555 ??         0:00.41 /System/Library/CoreServices/ReportCrash agent
  572 ??         0:00.08 /System/Library/CoreServices/pbs
  581 ??         0:00.24 /Library/Application Support/Tablet/WacomTabletDriver.app/Contents/Resources/TabletDriver.app/Contents/MacOS/TabletDriver -psn_0_159783
  585 ??         0:00.34 /System/Library/CoreServices/OSDUIHelper.app/Contents/MacOS/OSDUIHelper
  589 ??         0:00.06 /usr/libexec/findmydevice-user-agent
  616 ??         0:00.09 /Applications/Avast.app/Contents/Backend/services/com.avast.wifiguard
  646 ??         0:01.33 /Applications/Avast.app/Contents/Backend/services/com.avast.helper.app/Contents/MacOS/com.avast.helper
  671 ??         0:00.02 /usr/sbin/distnoted agent
  672 ??         0:00.13 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
  679 ??         0:00.03 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
  681 ??         0:00.03 /usr/libexec/seld
  682 ??         0:00.04 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdate_notify_agent
  683 ??         0:32.89 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  684 ??         0:00.05 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  687 ??         0:00.06 /usr/libexec/dmd
  688 ??         0:00.02 /System/Library/CoreServices/ReportCrash daemon
  690 ??         0:00.29 /usr/libexec/sysmond
  691 ??         0:00.07 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
  693 ??         0:00.06 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storelegacy
  694 ??         0:00.91 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeassetd
  695 ??         0:00.17 /System/Library/Frameworks/iTunesLibrary.framework/Versions/A/XPCServices/com.apple.iTunesLibraryService.xpc/Contents/MacOS/com.apple.iTunesLibraryService
  696 ??         0:00.01 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/XPCServices/com.apple.cmio.registerassistantservice.xpc/Contents/MacOS/com.apple.cmio.registerassistantservice
  697 ??         0:00.27 /System/Library/PrivateFrameworks/CommerceKit.framework/Resources/LaterAgent.app/Contents/MacOS/LaterAgent
  698 ??         0:00.32 /System/Library/PreferencePanes/Displays.prefPane/Contents/Resources/MirrorDisplays.app/Contents/MacOS/MirrorDisplays
  723 ??         0:00.32 /usr/libexec/trustd --agent
